loc_state,median_house_price
AL, 228163.35
AR, 193408.50
AZ, 375434.09
CA, 630803.43
CO, 615818.67
CT, 397977.00
DE, 363046.50
FL, 347848.78
GA, 241656.43
HI, 872090.50
IA, 206440.88
ID, 409837.40
IL, 154959.32
IN, 205874.55
KS, 193623.00
KY, 230553.13
LA, 198752.09
MA, 481901.80
MD, 326927.00
ME, 349161.75
MI, 219667.68
MN, 271920.17
MO, 225400.88
MS, 254178.50
MT, 471882.71
NC, 292836.00
ND, 302215.50
NE, 221983.67
NH, 426614.40
NJ, 403766.25
NM, 298931.27
NV, 454641.57
NY, 241788.88
OH, 180164.07
OK, 181054.00
OR, 431739.44
PA, 201986.58
RI, 447803.00
SC, 288604.54
SD, 319633.80
TN, 263115.40
TX, 271231.00
UT, 517499.00
VA, 306338.31
VT, 364304.50
WA, 477670.44
WI, 266450.78
WV, 181407.50
WY, 493011.00